class_descr;class;code;grasslands;forest;wetlands
Natural grasslands;landuse_321;1;0;100;30
Moors and heathland;landuse_322;2;30;30;100
Mineral extraction sites;landuse_131;3;10000;10000;100
Transitional woodland-shrub;landuse_324;4;100;5;100
Water bodies;landuse_512;5;30;100;0
Pastures, meadows and other permanent grasslands under agricultural use;landuse_231;6;0;100;30
Mixed forest;landuse_313;7;100;0;100
Sparsely vegetated areas;landuse_333;8;30;100;100
Sport and leisure facilities;landuse_142;9;100;10000;100
Discontinuous urban fabric;landuse_112;10;100;10000;10000
Complex cultivation patterns;landuse_242;11;30;100;100
Non-irrigated arable land;landuse_211;12;30;100;10000
Land principally occupied by agriculture, with significant areas of natural vegetation;landuse_243;13;5;100;100
Broad-leaved forest;landuse_311;14;100;0;100
Coniferous forest;landuse_312;15;100;5;100
Industrial or commercial units and public facilities;landuse_121;16;10000;10000;10000
Vineyards;landuse_221;17;30;100;100
Fruit trees and berry plantations;landuse_222;18;30;100;100
Class Liaison principale of group roads;roads_Liaison principale;19;10000;10000;10000
Class Liaison locale of group roads;roads_Liaison locale;20;30;100;100
railroads;railroads;23;100;10000;10000
Thin watercourse;w1;22;100;10000;0
Large watercourse;w2;24;10000;10000;0
Class Liaison régionale of group roads;roads_Liaison régionale;21;100;10000;10000
